,Unnamed: 0,context,question,answerA,answerB,answerC,correct
0,0,"O bailey era uma pessoa simpática, por isso chamou a família.",O que acontecerá com os outros?,Fale com a família,Odeia o bailey,Graças a Deus!,C
1,1,Alex encontrou um anel na praia e tentou encontrar a quem pertencia.,O que a pessoa que perdeu vai querer fazer a seguir?,Jogue-o no oceano,transformá-lo em perdido e encontrado,Sair da praia,B
2,2,Quinn jogador com remy balançando ela ao redor e ela riu e pediu mais.,O que Quinn vai querer fazer a seguir?,Seja amigável com Remy,Tenha a confiança de Remy,Põe o Remy no chão.,C
3,3,Casey era popular em todo o ensino médio. Casey era um jogador de futebol estrela lá.,Como você descreveria Casey?,uma pessoa preguiçosa,Casey que tem uma estrela do jogador de futebol,uma pessoa social,C
4,4,Alex bateu na mesa em que o café foi colocado.,O que vai acontecer com Riley?,Continue a beber o café,Derramem o café,tem que comprar um refil,B
5,5,Robin levou o laptop de Taylor para reparo e limpeza.,O que vai acontecer com Taylor?,pagar a conta para a reparação e limpeza,inútil,apoiado,A
6,6,Ash ainda estava com raiva de sua mãe por fazer seu sanduíche sem mostarda.,Como você descreveria Ash?,mustardless,mesquinho,doce,B
7,7,Quinn cuspiu suas tripas com suas piadas estridentes e bom humor.,Como você descreveria Quinn?,Uma pessoa muito séria,Uma pessoa muito engraçada,uma pessoa muito mal-humorada,B
8,8,Kendall viu sua paixão de pé no cinema.,Como Kendall se sentiria depois?,embarassed,muito tímido,Como ela queria falar,B
9,9,"A namorada de Kai adorava viajar por toda parte. Kai também gostava de viajar, então eles fizeram isso juntos.",Por que Kai fez isso?,Queria ter novas experiências,Queria ter memórias antigas,Seja feliz por eles,A
10,10,Janbought um gato na loja de animais e trouxe-o para casa com eles.,O que vai acontecer com Jan?,formar um vínculo com o gato,Compre uma tartaruga,Cuide do seu gato,A
11,11,"O Casey estava a usar o bálsamo labial da Riley, do que a colocar na bolsa dela.",O que é que o Casey precisa de fazer antes disso?,comprar novo bálsamo labial,Pergunte a Riley se ela poderia emprestá-lo,Roubá-lo de Riley,B
12,12,Taylor jogou dodgeball com um grupo de amigos na escola.,Como os outros se sentiriam como resultado?,coração partido,sociável,Perturbado,B
13,13,Jordan fez um teste que ela precisava estudar para amanhã.,Como você descreveria a Jordânia?,um estudante,inteligente,um abandono universitário,A
14,14,"Robin tinha sido amigo dele por anos, e queria fazer algo especial para o seu aniversário.",O que Robin vai querer fazer a seguir?,Reunir amigos,Compre um cartão com uma nota curta dentro,Ligue para ele e deseje um feliz aniversário,A
15,15,Jordan levou uma bola de futebol para jogar com seus amigos.,O que a Jordânia precisa fazer antes disso?,jogar futebol,comprar uma bola de futebol,ir para fora,B
16,16,Riley salvou seu povo de um regime opressivo e instalou um novo líder.,O que acontecerá com os outros?,Torne-se um conselheiro,Ficar com raiva de Riley,ser salvo,C
17,17,"Tracy era uma mãe protetora, então ela protegeu os olhos de Aubrey.",O que vai acontecer com Aubrey?,esconder Aubrey da visão chocante,continuar a proteger Aubrey da visão assustadora,ele vai agradecer tracy,C
18,18,"Addison tentou com todas as suas forças, mas eles não conseguiram levantar o grande pedregulho da perna de seu pai.",O que Addison vai querer fazer a seguir?,Mantenha seu pai calmo,assistir o pedregulho esmagar sua perna,Chame a polícia,C
19,19,"Kendall sentiu o nódulo dentro de Jesse, e disse a Jesse que eles precisavam ser testados para o câncer.",Como Kendall se sentiria depois?,Preocupado que Jesse pode ter gás,determinado a descobrir o que está acontecendo com Kendall,Preocupado que Jesse possa ter câncer,C
20,20,Jesse chamou a escola imediatamente para fazer uma reclamação com o diretor.,O que a escola vai querer fazer a seguir?,Expulsar todos os alunos,Compre um telefone da loja,Seja apologético com Jesse,C
21,21,Robin explodiu esta parada de picolé. Não foi tão divertido quanto ela esperava que fosse.,Como você descreveria Robin?,Em busca de emoção,ficar mais tempo,Indiferente,A
22,22,Tracy percorreu o pescoço rapidamente para ver o pássaro passar voando.,O que vai acontecer com Tracy?,fazer exercícios de pescoço,Ver um carro a conduzir,ver o pássaro voando acima,C
23,23,Casey veio à luz sobre o que tinha acontecido na escola.,O que é que o Casey precisa de fazer antes disso?,Mentir aos outros,Seja honesto,Investigue mais,C
24,24,"Bailey gostava de se sentar em casa como um trabalho paralelo, então quando sua amiga foi de férias, Bailey tomou o lugar de Taylor.",O que vai acontecer com Bailey?,forte,Cuidado com a casa de Taylor,Orgulha-te,B
25,25,Tracy precisava falar com Addison para que ela caminhasse atrás dele.,O que vai acontecer com Addison?,Chegando em Addison,ele terá virado,ele vai ignorar tracy,B
26,26,Riley bateu ao redor do mato porque ele queria parar.,Porque é que a Riley fez isto?,tomar uma decisão,Entenda a situação,Sejam simpáticos.,B
27,27,O Quinn estava a ter uma conversa com o outro.,Como os outros se sentiriam como resultado?,aliviado,ignorado,melhor,C
28,28,Quinn estava pescando na baía com seu pai e tirou o peixe da água.,Porque é que o Quinn fez isto?,Pegar o peixe,Salvar os peixes do afogamento,Coloque o peixe no gelo,A
29,29,Lee colocou seus lábios nos lábios de Skylar durante o filme.,Porque é que o Lee fez isto?,beijo Skylar,Beijo de volta,Ignorar o filme,A
30,30,Bailey trabalha em um spa de saúde que trabalha no corpo das pessoas para mimá-las.,O que vai acontecer com Skylar?,aberração para fora,Perturbado,têm suas unhas pintadas,C
31,31,Jesse publicou notas em jornais e pegou sua irmã lendo-as quando ela entrou.,O que vai acontecer com Jesse?,violada,ser louco,ficar com raiva,B
32,32,Addison caminhou para o quarto e se arrependeu de ficar de castigo por um mês.,Como se sentiria a Addison depois?,Desculpem-se por si mesmos,Como bater a porta do quarto,Como se rebelar contra a autoridade,A
33,33,Carson finalmente voltou do parque naquele dia.,Como Carson se sentiria depois?,Como se tivesse se divertido,Esgotado,Solitário,A
34,34,"Addison ligou para os outros no dia seguinte, depois de perder a ligação inicialmente.",O que vai acontecer com os outros?,pegar o telefone,Não estar disposto a responder,Saiba quem é Addison,A
35,35,"Bailey estava brincando no oceano na praia, mas Bailey começou a afundar.",O que Bailey vai querer fazer a seguir?,Ignorar o salva-vidas,Pare de tentar nadar,sinal de um salva-vidas,C
36,36,"Jesse comprou um novo Ford Mustang, a caminho de casa, ele atravessou a cidade o mais rápido que pôde, quase a conseguir um bilhete.",O que é que o Jesse fez?,nervoso,Compre um carro novo,Vendeu o seu velho vagão,B
37,37,"Riley viu Cameron sair da escola, embora a escola estivesse em sessão.",O que Cameron vai querer fazer a seguir?,ir para o shopping,Perseguição depois de Cameron,Diga ao professor,A
38,38,"A Tracy quer fazer um jantar especial esta noite, por isso foram às compras hoje.",Porque é que a Tracy fez isto?,Compre ingredientes para o jantar,comprar roupas novas para uma data,Coloque a comida fora,A
39,39,Jordan parecia uma nova pessoa depois de perder muito peso.,O que a Jordânia precisa fazer antes disso?,Exercite-se muito,Coma muitos alimentos,Pare de comer,A
40,40,O Casey trouxe à luz a verdade sobre onde eles foram ontem à noite.,Como Casey se sentiria depois?,Como um mentiroso,honesto,Perturbado,B
41,41,Sasha bateu em sua irmã facilmente desde que ela era 10 anos mais velha.,O que vai acontecer com Sasha?,Fique melhor do que sua irmã,Continue batendo em sua irmã,ficar confiante,B
42,42,Tracy falou ao telefone a noite toda com Beth e ficou acordada até tarde.,Porque é que a Tracy fez isto?,Rebelde contra a hora de dormir dos pais,jogar jogos no novo aplicativo do telefone,continue se divertindo com Beth no telefone,C
43,43,Taylor ficou doente na terça-feira e não conseguiu se apresentar na peça.,O que Taylor vai querer fazer a seguir?,Obrigado Bailey por ajudar,Obrigado Jenna por ajudá-los,ser feliz eles foram incapazes de ir,B
44,44,"Aubrey viu todas as pessoas que entraram em sua loja naquele dia, mas o homem que esqueceu seus óculos ontem nunca apareceu.",O que Aubrey vai querer fazer a seguir?,Tente encontrar o homem,Chame a polícia,Envie um e-mail para seu colega de trabalho,A
45,45,Casey encontrou um amigo para brincar enquanto ela estava de férias na escola.,O que Casey vai querer fazer a seguir?,Ignorar o amigo,Conheça o amigo,Fique em casa,B
46,46,Aubrey foi até a loja para pegar um shampoo para o banho de manhã.,O que Aubrey vai querer fazer a seguir?,comprar um frango assado,Sair da casa,obter um bom negócio,C
47,47,Sydney deixou Jesse depois de um tempo e voltou para casa para comer comida.,Como Jesse se sentiria como resultado?,muito amado,Muito sozinho,Alguém que se apega à rotina,B
48,48,Remy queria ajudar as pessoas que eram menos afortunadas do que eles.,O que os outros vão querer fazer a seguir?,recusar ajuda,Faça o mesmo,ser útil,B
49,49,Casey estava recusando o pedido de Addison para ir ao baile na sexta-feira.,O que é que a Addison precisa de fazer antes disso?,Rir para sair disso,implorar Chase para ir,Chore para conseguir o seu caminho,B
50,50,Bailey ajudou Taylor a se mudar para seu novo apartamento na cidade.,Porque é que a Bailey fez isto?,Comece a procurar um emprego,Mover Taylor em,Decore o apartamento,B
51,51,Jesse chamou imediatamente a ajuda de outros trabalhadores quando uma máquina caiu em seus pés.,Como os outros trabalhadores se sentiriam como resultado?,Preocupação com Jesse,Feliz por Jesse,como tipo,A
52,52,Addison torceu o braço do Casey para sair para beber depois do trabalho.,O que vai acontecer com Casey?,Beba em casa,gostando de sair,ir para a sobremesa,B
53,53,"Ash perdeu o trabalho devido a estar doente, mas não se incomodou em fazer uma ligação dizendo que eles não estariam.",Como você descreveria Ash?,uma pessoa atenciosa,Um empregado pobre,Com remorso por incomodar seu chefe,B
54,54,Austin passou o tempo lendo porque eles não tinham mais nada para fazer.,O que Austin vai querer fazer a seguir?,estudo,dormir,comer,B
55,55,Remy era um desenvolvedor web em uma empresa de consultoria bem respeitada.,O que Remy precisa fazer antes disso?,Ir para a faculdade,Sair do ensino médio,Queria ser bem sucedido,A
56,56,Lee vendeu uma TV no Craigslist por um ótimo preço.,O que os outros vão querer fazer a seguir?,ganhar algum dinheiro extra para ver Lady Gaga,Ganhar dinheiro para ajudar sua família,Compre a TV,C
57,57,"Depois de lutar com o jogo por vários meses, Taylor venceu.",O que Taylor vai querer fazer a seguir?,Comece o nível novamente,Tente novamente para vencê-lo,Iniciar um novo jogo,C
58,58,Tracy se recusou a reciclar e economizar energia para ajudar a proteger a Terra.,Como você descreveria Tracy?,Importante para mudar hábitos,envergonhada,culpado,C
59,59,"Remy levou seu laptop para todos os lugares, mas acabou esquecendo-o em um ônibus.",O que Remy precisa fazer antes disso?,levar o laptop em um ônibus,Leve o laptop para a cozinha,estudo,A
60,60,Remy deu mais dinheiro para a instituição de caridade depois que eles receberam seu salário.,O que Remy vai querer fazer a seguir?,Apoiar a caridade,Seja uma pessoa útil,Doar todo o seu dinheiro,A
