,Unnamed: 0,context,question,answerA,answerB,answerC,correct
0,0,"bailey foi uma pessoa bonita, assim ela chamou a família.",O que acontecerá com os outros?,conversar com a família,baile de ódio,agradecer bailey,C
1,1,Alex encontrou um anel na praia e tentou encontrar quem pertencia.,O que a pessoa que perdeu quer fazer a seguir?,jogar no oceano,a transformar em perdido e encontrado,folgue a praia,B
2,2,Quinn jogadora com remessa girando em torno dela e riu e pediu mais.,O que queremos Quinn?,ser amigo de Remy,ter a confiança de Remy,Coloque Remy,C
3,3,"A casey era popular durante o ensino médio, sendo uma estrela de futebol.",Como descreveria Casey?,uma pessoa preguiça,casey que tem uma estrela de jogador de futebol,uma pessoa social,C
4,4,Alex bompeu a mesa que o café foi colocado.,O que acontecerá com Riley?,continuar a beber o café,derramar o café,ter que comprar um reenchimento,B
5,5,Robin utilizou o laptop de Taylor para reparo e limpeza.,O que acontecerá com Taylor?,pagar a verba para a reparação e limpeza,inútil,apoiado,A
6,6,Ash ainda estava irritado com a mãe por fazer seu sanduíche sem mostarda,Como descreveria Ash?,sem apetite,pequeno,doce,B
7,7,Quinn espalhou os intestinos com suas piadas esporádicas,Como descreveria Quinn?,uma pessoa muito séria,uma pessoa muito divertida,uma pessoa muito sulina,B
8,8,Kendall viu sua esmagadura em pé no cinema.,Como se sentiria Kendall depois?,embaralhado,Muito tímido,como ela queria falar,B
9,9,A namorada do Kai gostou de viajar e o Kai gostou de viajar.,Por que o Kai fez isso?,quis ter novas experiências,quis ter antigas memórias,Seja feliz por eles,A
10,10,Janbo comprou um gato na loja de pet e trouxe-o para casa.,O que acontecerá com Jan?,formar um vínculo com o gato,compra de uma tartaruga,cuidar dos gatos,A
11,11,"Casey estava usando o lábio de Riley, do que o colocava em seu bolso.",O que é necessário para o Casey antes disso?,compra de novo labial,Pergunte a Riley se poderia contrair,mantenha-lo de Riley,B
12,12,Taylor jogou o jogo de bola com um grupo de amigos na escola.,Como os outros se sentiriam como resultado?,< < < < < < < < < ,sociável,tonturas,B
13,13,Jordan fez um teste que necessitou estudar para amanhã.,Como descreveria a Jordânia?,um aluno,smart,evasão universitária,A
14,14,"Robin já havia sido amigo dele há anos, e queria fazer algo especial para o aniversário.",O que queremos por Robin?,Amigos,Compra de um cartão com uma nota curta dentro,Chamar e desejar um aniversário feliz,A
15,15,Jordan jogou um futebol fora para jogar com seus amigos.,O que o Jordânia precisa fazer antes disso?,jogar futebol,compra de um futebol,náuseas,B
16,16,riley salvou seus habitantes de um regime opressivo e instalou um novo líder.,O que acontecerá com os outros?,tornar- se um consultor,estar com raiva na rija,ser poupado,C
17,17,tracy foi uma mãe protetora para proteger os olhos de aubrey.,O que acontecerá com Aubrey?,Aubrey da vista de choque,continuar a proteger Aubrey da visão sombria,ele agradecerá a tracy tracy,C
18,18,Addison tentou retirar o grande ombro da perna do pai.,O que queremos com Addison?,manter o pai calmo,ver o boulder esmagar a perna,chama a atenção da polícia,C
19,19,"Kendall sentiu o nódulo dentro de Jesse, e contou que eles precisavam ser testado",Como se sentiria Kendall depois?,preocupado com o fato de Jesse poder ter gás,Determinaram encontrar o que está acontecendo com Kendall,preocupado com o facto de Jesse poder ter cancro,C
20,20,Jesse chamou a escola imediatamente para fazer uma queixa com o diretor.,O que a escola quer fazer a seguir?,Rejeite todos os alunos,Compra um telefone da loja,Sejam culpados por Jesse,C
21,21,"Robin fez uma boa leitura desse popsicle, não era tão divertido como esperava.",Como descrever Robin?,thrill buscando,tempo de internação,indiferente,A
22,22,Tracy fez uma trinca rápida do pescoço para ver o passado da mosca.,O que vai acontecer com Tracy?,exercícios cervicais,ver um carro dirigindo,ver a aves que arvoram a cabeça,C
23,23,Casey veio a lume sobre o que já havia acontecido na escola.,O que é necessário para o Casey antes disso?,náuseas,ser honesto,mais,C
24,24,"Bailey gostava de casa-sit como um trabalho colateral, então quando sua amiga estava de",O que acontecerá com Bailey?,forte,ver a casa de Taylor,orgulha,B
25,25,tracy necessitou falar com a addison para que ela caminhasse atrás dele,O que acontecerá com Addison?,captura até Addison,ele vai virar,ignorará o tracy,B
26,26,Riley batia no monte porque queria ficar.,Por que o Riley fez isso?,tomar uma decisão,compreender a situação,ser bom,B
27,27,"Quinn estava tendo uma conversa com o outro significante, Quinn deixou o coração.",Como os outros se sentiriam como resultado?,alívio,ignorado,melhor,C
28,28,Quinn estava pescando na baía com o pai e puxava o peixe da água.,Por que Quinn?,captura dos peixes,Salvar os peixes do afogamento,Coloque o peixe no gelo,A
29,29,Lee colocou os lábios em lábios Skylar durante o filme.,Por que Lee fez isso?,quês Skylar,sífilis,ignorar o filme,A
30,30,Bailey trabalha em uma espaça de saúde que trabalha com o corpo das pessoas para cari,O que acontecerá com o Skylar?,Freak out,tonturas,ter as unhas pintadas,C
31,31,Jesse publicou notas em jornais e fez leitura de suas irmãs quando ela andou.,O que vai acontecer com Jesse?,Violado,ser louco,ser irritado,B
