,Unnamed: 0,context,question,answerA,answerB,answerC,correct
0,0,"A Bailey era uma pessoa simpática, por isso reuniu a família.",O que acontecerá aos Outros?,falar com a família,Odeio Bailey .,Obrigado Bailey .,C
1,1,Alex encontrou um anel na praia e tentou descobrir a quem pertencia.,O que é que a pessoa que perdeu vai querer fazer a seguir?,Atira-o para o oceano .,"Transforme-o em ""perdidos e encontrados"".",Deixe a praia,B
2,2,A Quinn tocava com o Remy a balançá-la e ela riu-se e pediu mais.,O que quer o Quinn fazer a seguir?,Seja simpático com o Remy.,Tenho a confiança do Remy.,Larga o Remy.,C
3,3,"O Casey era popular no liceu, era um jogador de futebol.",Como descreveria o Casey?,uma pessoa preguiçosa,Casey que tem uma estrela de futebol,pessoa social,C
4,4,Alex bateu na mesa onde o café estava colocado.,O que vai acontecer ao Riley?,Continua a beber o café.,derramar o café,Tenho de comprar um recheio.,B
5,5,A Robin levou o portátil da Taylor para limpeza.,O que vai acontecer com a Taylor?,pagar a conta da reparação e limpeza,inútil,apoiado,A
6,6,Ash ainda estava zangado com a mãe por fazer a sanduíche sem mostarda.,Como descreveria o Ash?,sem mostarda,Pequeno,doce,B
7,7,Quinn derramou-lhes as tripas com as suas piadas e bom humor.,Como descreveria o Quinn?,Uma pessoa muito séria.,Uma pessoa muito engraçada.,Uma pessoa muito mal-humorada.,B
8,8,Kendall viu o amor deles no cinema.,Como se sentiria a Kendall depois?,Envergonhado.,muito tímido,Como se ela quisesse falar.,B
9,9,"A namorada do Kai adorava viajar, e ele também, por isso, fizeram isso juntos.",Porque é que o Kai fez isto?,Queria ter novas experiências.,Queria ter velhas memórias,Fica feliz por eles.,A
10,10,Jan comprou um gato na loja de animais e levou-o para casa.,O que vai acontecer com Jan?,Formar um vínculo com o gato,Compre uma tartaruga.,Cuidado com o gato deles.,A
11,11,"A Casey estava a usar o bálsamo dos lábios da Riley, e depois colocou-o na bolsa dela.",O que é que o Casey precisa de fazer antes disto?,Compre um novo bálsamo para os lábios.,Pergunta à Riley se ela pode emprestá-lo .,Roubar-lhe o Riley.,B
12,12,Taylor jogou dodgeball com um grupo de amigos na escola.,Como se sentiriam os Outros?,Com o coração partido.,sociável,desanimado,B
