,question,answer,LLM answer,F1,Exact Match
0,What is Zeus know for in Greek mythology?,sky and thunder god,ruling as king of gods of mount olympus,0,0
1,How long had the First World War been over when Messe was named aide-de-camp?,5,none,0,0
2,"How long had Angela Scoular been acting professionally when she appeared in the movie ""On Her Majesty's Secret Service""?",2,based on provided information id say angela scoular started acting professionally around 1961 considering her birth year 1945 and films release 1969,0,0
3,What is the capacity of the stadium where Brunt returned to action after a torn ACL?,26688,none,0,0
4,In which country was Wilhelm Müller born?,germany,germany,1.0,1
5,In which Italian region did Pesce studied medicine?,liguria,liguria,1.0,1
6,"What albums were ranked higher than ""It Takes a Nation of Millions to Hold Us Back"" in Rolling Stone's the 500 Greatest Albums of All Time?",none,none,1.0,1
7,When was the sports organization that the Turks and Caicos Islands became affiliate members in 2002 founded?,1909,international cricket council was founded in 1909,0.25,0
8,When was the port established at the Port Phillip District?,none,none,1.0,1
9,"At which tournament were more goals scored, 1984 Canada Cup or 1994 Ice Hockey World Championship?",none,none,1.0,1
10,How much money did IBM earn the year Delicious was founded?,none,none,1.0,1
11,How many years had Mike Elizondo been a producer when Nightmare was released?,none,mike elizondo was 38yearold producer in 2010,0,0
12,How long had Alex Rance been a professional player when he suffered an ACL injury during a season opening match?,11,about 10 years as professional player,0,0
13,In what country is the city located where the Arabic dialect is spoken by Jews?,iraq,iraq,1.0,1
14,How many years were there between Pompeii's destruction and the discovery of the Maya site of Cerén?,1897,around 1738 years between ceréns destruction and discovery,0,0
15,Which university did Don Branby played college football for?,colorado buffaloes,university of colorado,0.4,0
16,How long had the Perthshire Regiment been a going concern for when Harison joined it as a captain?,69,none,0,0
17,When was the university where Tookey served as Editor of Isis founded?,none,none,1.0,1
18,Which team won the first game in the 2004 National League Division Series?,cardinals,none,0,0
19,Which is the oldest of the schools where Stirner's work was shown between 1985 and 2013?,none,fairleigh dickinson university established 1900,0,0
20,"How long had Mystic Records been in business when they recorded ""Be a Man Go to War"" and ""Night Stix""?",none,none,1.0,1
21,How much money did the Dallas Burn spend in total when they selected Glenn in the 1996 MLS Player Draft?,none,none,1.0,1
